,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province,target
1,2020-01-21,16,0,0,0,12000,1.9,-2.0,7.9,0.0,4.7,290.0,36.0,3,0
2,2020-01-22,16,0,0,0,12000,2.9,0.2,5.7,0.0,1.9,140.0,65.9,3,0
3,2020-01-23,16,0,0,0,12000,5.0,2.7,8.6,0.0,2.1,320.0,95.4,3,0
4,2020-01-24,16,0,0,0,12000,6.1,0.5,11.8,0.0,5.5,110.0,80.3,3,0
5,2020-01-25,16,0,0,0,12000,7.2,5.4,9.8,0.0,4.1,110.0,68.8,3,0
6,2020-01-26,16,0,0,0,12000,6.7,1.7,11.2,0.0,6.1,110.0,74.1,3,0
7,2020-01-27,16,0,0,0,12000,6.2,4.5,8.5,0.0,7.7,90.0,85.3,3,0
8,2020-01-28,16,0,0,0,12000,7.4,4.5,11.1,0.0,3.5,290.0,75.0,3,0
9,2020-01-29,16,0,0,0,12000,6.2,3.6,9.8,0.0,3.4,110.0,75.0,3,0
10,2020-01-30,16,0,0,0,12000,5.7,3.1,9.3,0.0,4.6,140.0,67.9,3,0
11,2020-01-31,16,0,0,0,12000,4.4,0.9,8.3,0.0,3.5,140.0,66.8,3,0
12,2020-02-01,16,0,0,0,12000,2.9,-1.8,8.1,0.0,6.5,320.0,67.6,3,0
13,2020-02-02,16,0,0,0,12000,3.6,-1.7,9.5,0.0,3.4,290.0,61.5,3,0
14,2020-02-03,16,0,0,0,12000,3.1,0.3,7.5,0.0,5.5,290.0,45.6,3,0
15,2020-02-04,16,0,0,0,12000,1.9,-4.3,7.7,0.0,4.3,270.0,42.5,3,0
16,2020-02-05,16,0,0,0,12000,-1.5,-4.9,3.4,0.0,7.0,290.0,30.8,3,0
17,2020-02-06,16,0,0,0,12000,-2.1,-7.5,3.6,0.0,4.2,290.0,39.3,3,0
18,2020-02-07,16,0,0,0,12000,1.1,-4.4,7.7,0.0,5.3,290.0,49.9,3,0
19,2020-02-08,16,0,0,0,12000,2.9,0.4,7.2,0.0,6.2,290.0,46.0,3,0
20,2020-02-09,16,0,0,0,12000,1.9,-4.4,8.0,0.0,5.1,290.0,44.3,3,0
21,2020-02-10,16,0,0,0,12000,5.5,1.4,12.1,0.0,4.5,270.0,46.8,3,0
22,2020-02-11,16,0,0,0,12000,6.1,-2.9,13.5,0.0,2.2,140.0,56.3,3,0
23,2020-02-12,16,0,0,0,12000,8.1,6.0,9.5,0.0,3.7,110.0,90.5,3,0
24,2020-02-13,16,0,0,0,12000,10.4,6.0,15.3,0.0,4.3,320.0,76.0,3,0
25,2020-02-14,16,0,0,0,12000,10.7,5.2,18.5,0.0,3.6,140.0,63.4,3,0
26,2020-02-15,16,0,0,0,12000,12.0,7.4,17.3,0.0,4.8,140.0,69.8,3,0
27,2020-02-16,16,0,0,0,12000,5.0,0.1,12.1,0.0,8.6,290.0,64.1,3,0
28,2020-02-17,16,0,0,0,12000,-1.6,-4.2,1.8,0.0,9.1,290.0,51.9,3,0
29,2020-02-18,16,1,0,0,12000,-0.2,-5.4,5.3,0.0,6.2,320.0,44.8,3,1
30,2020-02-19,16,10,0,0,12000,4.7,-0.6,11.4,0.0,4.2,290.0,43.8,3,1
31,2020-02-20,16,19,0,0,12000,6.1,-0.3,14.4,0.0,2.9,110.0,53.3,3,2
32,2020-02-21,16,80,0,0,12000,8.3,-0.8,16.7,0.0,4.3,180.0,56.5,3,4
33,2020-02-22,16,83,0,0,12000,8.2,3.2,12.1,0.0,9.2,290.0,46.0,3,4
34,2020-02-23,16,117,0,1,12000,4.9,0.6,11.2,0.0,7.1,290.0,42.3,3,5
35,2020-02-24,16,173,0,1,12000,8.1,-1.2,16.4,0.0,2.8,290.0,40.3,3,5
36,2020-02-25,16,60,0,4,12000,7.0,5.7,9.8,0.0,6.5,140.0,96.4,3,4
37,2020-02-26,16,167,1,0,12000,8.3,5.9,13.5,0.0,6.7,110.0,82.8,3,5
38,2020-02-27,16,422,1,0,12000,6.1,4.6,9.3,0.0,5.0,110.0,68.0,3,6
39,2020-02-28,16,448,1,0,12000,4.5,2.3,8.1,0.0,3.6,140.0,90.0,3,6
40,2020-02-29,16,656,0,4,12000,6.3,2.0,11.8,0.0,2.7,110.0,88.6,3,7
41,2020-03-01,16,468,3,1,12000,9.4,3.6,14.7,0.0,5.7,110.0,78.5,3,6
42,2020-03-02,0,377,1,4,12000,7.1,4.2,11.5,0.0,6.9,290.0,57.0,3,6
43,2020-03-03,0,520,2,6,12000,7.7,3.7,12.5,0.0,5.1,140.0,73.1,3,7
44,2020-03-04,0,406,2,4,12000,5.9,1.0,10.6,0.0,8.6,290.0,53.0,3,6
45,2020-03-05,0,321,3,2,12000,3.7,-0.7,10.4,0.0,5.3,320.0,51.8,3,6
46,2020-03-06,0,366,1,3,12000,5.4,-2.9,13.9,0.0,3.1,320.0,51.1,3,6
47,2020-03-07,0,390,3,1,12000,5.7,1.5,10.2,0.0,3.7,140.0,78.0,3,6
48,2020-03-08,0,297,0,4,12000,8.3,1.8,16.0,0.0,4.7,140.0,77.9,3,6
49,2020-03-09,0,190,3,0,12000,9.1,1.6,15.1,0.0,3.8,110.0,83.4,3,5
50,2020-03-10,0,92,71,3,12000,9.0,5.8,10.7,0.0,6.6,290.0,90.9,3,4
51,2020-03-11,0,131,10,6,12000,6.4,2.9,11.2,0.0,7.6,290.0,48.1,3,5
52,2020-03-12,0,73,12,4,12000,8.3,-0.9,17.1,0.0,5.0,270.0,48.1,3,4
53,2020-03-13,0,61,137,0,12000,9.4,3.8,15.4,0.0,4.7,290.0,47.0,3,4
54,2020-03-14,0,62,150,3,12000,6.5,1.6,11.5,0.0,6.9,290.0,37.3,3,4
55,2020-03-15,0,41,67,2,12000,6.2,1.6,12.2,0.0,10.0,290.0,48.4,3,3
56,2020-03-16,0,35,266,0,12000,6.4,0.8,12.1,0.0,5.2,270.0,47.1,3,3
57,2020-03-17,0,32,213,4,12000,10.5,1.1,18.6,0.0,6.7,290.0,53.6,3,3
58,2020-03-18,0,46,101,1,12000,11.7,3.3,19.6,0.0,4.5,290.0,50.5,3,3
59,2020-03-19,0,97,334,7,12000,10.8,6.0,19.4,0.0,10.6,290.0,52.0,3,4
60,2020-03-20,0,34,195,2,12000,12.0,7.0,18.6,0.0,8.0,290.0,38.6,3,3
61,2020-03-21,0,69,284,6,12000,15.0,5.2,25.4,0.0,4.0,20.0,54.1,3,4
62,2020-03-22,0,43,246,2,12000,14.1,7.8,21.7,0.0,7.2,140.0,62.4,3,3
63,2020-03-23,0,24,198,7,12000,11.5,3.0,20.1,0.0,7.4,110.0,56.9,3,2
64,2020-03-24,0,31,266,6,12000,11.2,3.8,19.0,0.0,6.0,140.0,59.0,3,3
65,2020-03-25,0,14,169,4,12000,13.1,3.6,21.4,0.0,3.2,140.0,57.4,3,2
66,2020-03-26,0,26,299,2,12000,13.2,9.8,16.9,0.0,2.3,110.0,76.8,3,3
67,2020-03-27,0,34,285,4,12000,14.6,9.8,19.6,0.0,4.8,270.0,87.0,3,3
68,2020-03-28,0,71,219,3,12000,8.2,6.2,11.1,0.0,4.9,110.0,60.3,3,4
69,2020-03-29,0,23,163,5,12000,8.7,3.4,14.4,0.0,5.5,110.0,70.3,3,2
70,2020-03-30,0,14,131,5,12000,11.5,6.1,18.3,0.0,4.2,110.0,64.0,3,2
71,2020-03-31,0,60,109,3,12000,12.8,4.6,21.1,0.0,3.2,110.0,64.5,3,4
72,2020-04-01,0,20,124,1,12000,13.9,9.0,19.8,0.0,5.6,290.0,50.1,3,2
73,2020-04-02,0,21,213,2,12000,12.6,4.4,19.0,0.0,4.5,290.0,39.4,3,2
74,2020-04-03,0,9,151,4,12000,13.5,5.3,20.6,0.0,4.1,270.0,40.4,3,1
75,2020-04-04,0,27,239,1,12000,10.8,5.5,20.2,0.0,8.2,110.0,54.0,3,3
76,2020-04-05,0,7,100,5,12000,9.3,1.5,16.6,0.0,4.4,270.0,40.8,3,1
77,2020-04-06,0,13,92,2,12000,11.3,1.3,18.9,0.0,3.7,320.0,43.9,3,2
78,2020-04-07,0,13,53,5,12000,15.3,8.5,21.7,0.0,5.9,320.0,37.6,3,2
79,2020-04-08,0,9,43,3,12000,12.2,7.1,18.8,0.0,6.4,290.0,45.0,3,1
80,2020-04-09,0,4,145,2,12000,10.3,3.0,17.5,0.0,6.4,110.0,55.5,3,1
81,2020-04-10,0,0,87,3,12000,11.0,8.2,15.0,0.0,4.2,140.0,60.8,3,0
82,2020-04-11,0,7,78,3,12000,10.6,5.8,15.2,0.0,4.0,270.0,69.3,3,1
83,2020-04-12,0,2,85,1,12000,9.2,7.6,13.0,0.0,9.9,70.0,76.8,3,1
84,2020-04-13,0,3,39,1,12000,10.2,6.4,16.7,0.0,5.5,340.0,49.6,3,1
85,2020-04-14,0,3,45,5,12000,14.6,2.4,23.9,0.0,5.4,320.0,39.9,3,1
86,2020-04-15,0,1,46,3,12000,14.5,6.6,23.1,0.0,5.7,290.0,46.0,3,1
87,2020-04-16,0,4,100,3,12000,12.8,9.0,18.1,0.0,7.2,110.0,67.4,3,1
88,2020-04-17,0,0,40,1,12000,10.7,8.6,12.9,0.0,4.6,110.0,92.4,3,0
89,2020-04-18,0,3,59,1,12000,14.0,10.3,19.9,0.0,5.6,290.0,73.3,3,1
90,2020-04-19,0,2,58,1,12000,11.1,9.6,13.9,0.0,6.8,140.0,91.9,3,1
91,2020-04-20,0,1,26,2,12000,13.6,9.6,19.8,0.0,6.7,270.0,73.0,3,1
92,2020-04-21,0,2,24,1,12000,11.4,6.2,17.3,0.0,9.2,290.0,40.3,3,1
93,2020-04-22,0,1,34,1,12000,8.5,4.8,14.4,0.0,9.1,290.0,41.3,3,1
94,2020-04-23,0,4,63,1,12000,9.9,4.9,16.0,0.0,8.4,290.0,41.0,3,1
95,2020-04-24,0,2,41,0,12000,11.8,4.2,18.4,0.0,8.6,290.0,29.8,3,1
96,2020-04-25,0,3,43,0,12000,15.9,5.7,24.1,0.0,6.7,230.0,41.6,3,1
97,2020-04-26,0,1,44,2,12000,13.6,9.4,19.8,0.0,7.0,320.0,51.1,3,1
98,2020-04-27,0,1,22,1,12000,12.9,5.4,20.0,0.0,5.4,290.0,60.1,3,1
99,2020-04-28,0,2,16,1,12000,15.2,6.2,22.6,0.0,5.3,270.0,46.1,3,1
100,2020-04-29,0,3,19,1,12000,17.6,7.5,26.1,0.0,4.5,270.0,44.4,3,1
101,2020-04-30,0,0,69,1,12000,18.9,10.2,28.0,0.0,5.1,290.0,57.9,3,0
102,2020-05-01,0,0,0,0,12000,22.7,14.3,31.3,0.0,5.4,270.0,72.3,3,0
103,2020-05-02,0,0,11,2,12000,22.7,17.6,29.7,0.0,4.9,270.0,67.6,3,0
104,2020-05-03,0,4,12,0,12000,17.9,16.4,20.3,0.0,3.1,140.0,98.0,3,1
105,2020-05-04,0,0,10,0,12000,21.5,14.7,29.7,0.0,7.5,110.0,76.4,3,0
106,2020-05-05,0,0,22,2,12000,16.8,14.4,21.2,0.0,6.0,140.0,83.1,3,0
107,2020-05-06,0,0,18,1,12000,17.5,13.3,26.1,0.0,8.5,110.0,67.5,3,0
108,2020-05-07,0,0,32,1,12000,15.8,9.8,21.9,0.0,7.3,90.0,55.9,3,0
109,2020-05-08,0,3,28,0,12000,17.6,9.1,25.6,0.0,4.7,140.0,64.4,3,1
110,2020-05-09,0,0,29,0,12000,17.0,14.6,19.0,0.0,4.7,110.0,95.3,3,0
111,2020-05-10,0,2,12,0,12000,18.9,16.3,23.9,0.0,6.1,320.0,69.5,3,1
112,2020-05-11,0,0,0,0,12000,21.1,12.9,28.6,0.0,6.2,290.0,49.1,3,0
113,2020-05-12,0,1,13,1,12000,20.2,14.8,26.5,0.0,8.6,290.0,42.1,3,1
