,date,time,confirmed,released,deceased,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,province
13,2020-01-20,16,0,0,0,60000,3.6,-0.4,6.9,0.0,7.5,270.0,48.6,8
29,2020-01-21,16,0,0,0,60000,2.0,-1.9,7.5,0.0,4.8,180.0,51.6,8
45,2020-01-22,16,0,0,0,60000,5.2,-0.2,8.4,0.0,3.4,180.0,55.6,8
61,2020-01-23,16,0,0,0,60000,6.9,4.2,11.3,0.0,3.4,160.0,87.1,8
77,2020-01-24,16,0,0,0,60000,5.8,1.9,11.9,0.0,8.7,20.0,85.1,8
93,2020-01-25,16,0,0,0,60000,6.2,3.8,10.5,0.0,2.8,160.0,85.1,8
109,2020-01-26,16,0,0,0,60000,6.4,2.4,10.7,0.0,10.0,20.0,82.8,8
125,2020-01-27,16,0,0,0,60000,7.0,5.9,8.4,0.0,11.9,20.0,85.3,8
141,2020-01-28,16,0,0,0,60000,7.5,6.3,9.9,0.0,12.1,360.0,74.5,8
157,2020-01-29,16,0,0,0,60000,6.5,1.8,11.2,0.0,9.0,20.0,65.1,8
173,2020-01-30,16,0,0,0,60000,4.2,2.0,8.9,0.0,7.3,360.0,70.0,8
189,2020-01-31,16,0,0,0,60000,3.0,-1.1,10.2,0.0,4.2,180.0,75.4,8
205,2020-02-01,16,0,0,0,60000,4.1,-0.1,8.3,0.0,8.2,290.0,58.1,8
221,2020-02-02,16,0,0,0,60000,4.7,0.2,10.0,0.0,5.1,290.0,51.3,8
237,2020-02-03,16,0,0,0,60000,3.4,0.6,7.5,0.0,7.0,270.0,40.6,8
253,2020-02-04,16,0,0,0,60000,2.8,-1.8,7.3,0.0,8.2,290.0,34.6,8
269,2020-02-05,16,0,0,0,60000,-0.7,-4.3,3.5,0.0,7.7,290.0,30.6,8
285,2020-02-06,16,0,0,0,60000,-1.2,-6.6,4.6,0.0,7.8,290.0,56.8,8
301,2020-02-07,16,0,0,0,60000,1.8,-2.7,7.4,0.0,7.9,270.0,40.8,8
317,2020-02-08,16,0,0,0,60000,2.0,-2.0,8.0,0.0,10.6,290.0,55.1,8
333,2020-02-09,16,0,1,0,60000,2.5,-2.4,8.1,0.0,5.8,270.0,40.9,8
349,2020-02-10,16,0,1,0,60000,3.5,-0.6,10.5,0.0,10.4,290.0,56.0,8
